Enabled?,Guid,FeatureArea,Noisy?,API,BreakPointLocation
0,6EC4B3E8-DDFA-4DA4-B4C1-010D2AFF21E8,DBG,0,ICLRDataEnumMemoryRegions::EnumMemoryRegions,
0,25B70047-58CE-42F2-BAA0-0136A53EE3FE,DBG,0,ICLRDataEnumMemoryRegionsCallback::EnumMemoryRegion,
0,94510CED-2D3C-48C0-8F44-01A83F727A56,DBG,0,ICLRDataTarget::GetCurrentThreadID,
0,78B51A6A-C3D9-4DB0-BF92-01EADB522423,DBG,0,ICLRDataTarget::GetImageBase,
0,E7A9F4BE-CB69-4EBA-A5ED-01FEDE10ED3F,DBG,0,ICLRDataTarget::GetMachineType,
0,06A592D1-0253-4577-B14B-02534ADF0293,DBG,0,ICLRDataTarget::GetPointerSize,
1,37771CFB-F607-4BD3-8499-02F56E6A0D7E,DBG,0,ICLRDataTarget::GetThreadContext,mscordbi!ShimLocalDataTarget::GetThreadContext
0,2DC440B4-A390-49D9-89F0-032223799501,DBG,0,ICLRDataTarget::GetTLSValue,
1,EA822068-D9B0-4832-9672-036EB4F9A627,DBG,0,ICLRDataTarget::ReadVirtual,mscordbi!ShimLocalDataTarget::ReadVirtual
0,006946F1-5F30-4B95-9391-036FE95E5E64,DBG,0,ICLRDataTarget::Request,
1,25A8EFDC-1FC7-4EE5-8589-057EAF1B401C,DBG,0,ICLRDataTarget::SetThreadContext,mscordbi!ShimLocalDataTarget::SetThreadContext
0,11B49CE9-3ECB-4EB3-8850-064C47757610,DBG,0,ICLRDataTarget::SetTLSValue,
1,EE0B16EE-2A5C-4236-A100-06956084D25E,DBG,0,ICLRDataTarget::WriteVirtual,mscordbi!ShimLocalDataTarget::WriteVirtual
0,F6D1ADFA-B7DB-4901-85E1-070A823A69B9,DBG,0,ICLRDataTarget2::AllocVirtual,
0,7FDAB38A-7004-4F26-A4E4-073FD7E51FBD,DBG,0,ICLRDataTarget2::FreeVirtual,
1,A1753406-3066-4AC3-919C-077BB83BBE81,DBG,0,ICLRDebugging::OpenVirtualProcess,mscordbi!CordbProcess::OpenVirtualProcess
0,DB4669C3-1740-4B6F-9F40-07BD419DD2DC,DBG,0,ICLRDebugging::CanUnloadNow,
0,35C336B2-87D7-4110-9A0F-07D9BE16A0B2,DBG,0,ICLRDebuggingLibraryProvider::ProvideLibrary,
0,9DE3B544-8D0A-483D-ACDD-08A02D194C96,DBG,0,ICLRMetadataLocator::GetMetadata,
1,4CC15E2D-8C56-4FDA-BCAF-095412D2F134,DBG,0,ICorDebug::CanLaunchOrAttach,mscordbi!cordb::CanLaunchOrAttach
1,115E6280-7263-412C-B367-0965897D8A86,DBG,0,ICorDebug::CreateProcess,mscordbi!Cordb::CreateProcess
1,6444E44E-28CC-4B65-BD11-0A0CE9DDCC77,DBG,0,ICorDebug::DebugActiveProcess,mscordbi!Cordb::DebugActiveProcess
1,D7F1468C-C944-4FDE-8A30-0A0F79AC9D07,DBG,0,ICorDebug::EnumerateProcesses,mscordbi!Cordb::EnumerateProcesses
1,DC92E0F3-AE6C-4E1F-B93C-0A3EF47595F9,DBG,0,ICorDebug::GetProcess,mscordbi!Cordb::GetProcess
1,8B44372B-6DAB-43C6-878D-0A4AA46E71F7,DBG,0,ICorDebug::Initialize,mscordbi!Cordb::Initialize
1,CC0D017A-18C5-44B2-B432-0A92150E8600,DBG,0,ICorDebug::SetManagedHandler,mscordbi!Cordb::SetManagedHandler
1,F731815D-5A9D-49FF-98F7-0B5FAE5C3A5E,DBG,0,ICorDebug::SetUnmanagedHandler,mscordbi!Cordb::SetUnmanagedHandler
1,9BC99EF0-DD3C-4FD7-AAC0-0BAAF7F34949,DBG,0,ICorDebug::Terminate,mscordbi!Cordb::Terminate
1,EF77E7DA-95C1-4C6B-9DD9-0C9E8BC20032,DBG,0,ICorDebugAppDomain::Attach,mscordbi!CordbAppDomain::Attach
1,5A4864DD-8753-43DE-901C-0D26C4D46C15,DBG,0,ICorDebugAppDomain::EnumerateAssemblies,mscordbi!CordbAppDomain::EnumerateAssemblies
1,61F458A1-F607-4343-9DD5-0DB920108BAF,DBG,0,ICorDebugAppDomain::EnumerateBreakpoints,mscordbi!CordbAppDomain::EnumerateBreakpoints
1,B809AA92-0DC7-4A30-8D39-0E4CB69AB655,DBG,0,ICorDebugAppDomain::EnumerateSteppers,mscordbi!CordbAppDomain::EnumerateSteppers
1,50A062A9-187A-46D6-B701-0E6033CB1442,DBG,0,ICorDebugAppDomain::GetId,mscordbi!CordbAppDomain::GetID
0,2AA11939-D409-4F06-A238-0E9069175E40,DBG,0,ICorDebugAppDomain::GetModuleFromMetaDataInterface,
1,4FFA6F69-BC92-4BB8-B4F3-0E9C48797AB2,DBG,0,ICorDebugAppDomain::GetName,mscordbi!CordbAppDomain::GetName 
1,BFD83424-A09E-4CAF-8EE5-0F578A662665,DBG,0,ICorDebugAppDomain::GetObject,mscordbi!CordbAppDomain::GetObjectW
1,575A6AF1-CE47-4054-9691-0F77DC171F1B,DBG,0,ICorDebugAppDomain::GetProcess,mscordbi!CordbAppDomain::GetProcess
1,A87A255E-587E-4EF6-9471-0FC64E5AE273,DBG,0,ICorDebugAppDomain::IsAttached,mscordbi!CordbAppDomain::IsAttached
1,7807230D-D9D7-48B1-B124-104600F8D417,DBG,0,ICorDebugAppDomain2::GetArrayOrPointerType,mscordbi!CordbAppDomain::GetArrayOrPointerType
1,4E97DC3B-6D49-4D3E-8C36-1060D665368C,DBG,0,ICorDebugAppDomain2::GetFunctionPointerType,mscordbi!CordbAppDomain::GetFunctionPointerType
0,B7A792A9-DCFD-4241-AE40-1068463F53C9,DBG,0,ICorDebugAppDomainEnum::Next,
1,12454E98-D7A2-48CF-852E-1076D713BA8D,DBG,0,ICorDebugArrayValue::GetBaseIndicies,mscordbi!CordbArrayValue::GetBaseIndicies
1,83B4D081-E900-4873-AD0D-10B615AFC659,DBG,0,ICorDebugArrayValue::GetCount,mscordbi!CordbArrayValue::GetCount
1,6F85A3C0-A607-4EAE-BF84-1129D9E4689E,DBG,0,ICorDebugArrayValue::GetDimensions,mscordbi!CordbArrayValue::GetDimensions
1,8B225BEF-9A73-4D16-8CFA-114492FA01EC,DBG,0,ICorDebugArrayValue::GetElement,mscordbi!CordbArrayValue::GetElementAtPosition
1,6788C388-22F4-45C3-A7E6-119A4B64DABB,DBG,0,ICorDebugArrayValue::GetElementAtPosition,mscordbi!CordbArrayValue::GetElementType
1,2BC31506-B021-4A8F-9C0B-11F22255E17B,DBG,0,ICorDebugArrayValue::GetElementType,mscordbi!CordbArrayValue::GetElement
1,6EDF4714-2162-4204-B65C-12F3FA1DDB28,DBG,0,ICorDebugArrayValue::GetRank,mscordbi!CordbArrayValue::GetRank
1,A7134AD9-B4A5-4B80-9589-13432BF19EC5,DBG,0,ICorDebugArrayValue::HasBaseIndicies,mscordbi!CordbArrayValue::HasBaseIndicies
1,84C77220-C94F-4F40-9542-138512A1E22F,DBG,0,ICorDebugAssembly::EnumerateModules,mscordbi!CordbAssembly::EnumerateModules
1,4A6D35CA-E6EA-4E01-9604-13FBC6153F2D,DBG,0,ICorDebugAssembly::GetAppDomain,mscordbi!CordbAssembly::GetAppDomain
1,5F0F4F09-9EE0-4B74-A050-13FF7928D2E8,DBG,0,ICorDebugAssembly::GetCodeBase,mscordbi!CordbAssembly::GetCodeBase 
1,30BB765F-F309-43E4-9E1F-142735682988,DBG,0,ICorDebugAssembly::GetName,mscordbi!CordbAssembly::GetName 
1,BF9AFB5F-0266-4A77-B038-145097B675A0,DBG,0,ICorDebugAssembly::GetProcess,mscordbi!CordbAssembly::GetProcess
1,B7E94587-D0BB-4EDB-84B2-1487BD46ADAF,DBG,0,ICorDebugAssembly2::IsFullyTrusted,mscordbi!CordbAssembly::IsFullyTrusted
0,C02E54EA-CFFD-492E-A0A9-1618098F862A,DBG,0,ICorDebugAssemblyEnum::Next,
0,A9FAE4F7-B44C-44AD-970B-16BD91175BCE,DBG,0,ICorDebugBlockingObjectEnum::Next,
1,83BBD6EA-3F7F-4623-ABF7-1779A912F5DE,DBG,0,ICorDebugBoxValue::GetObject,mscordbi!CordbBoxValue::GetObjectW
0,1A22D770-BD03-4C2B-8384-178E30970314,DBG,0,ICorDebugBreakpoint::Activate,
0,31F057F2-0576-4E4D-A383-17EBCA3EFC3A,DBG,0,ICorDebugBreakpoint::IsActive,
0,09915D80-E853-45D2-867B-180EDDC28C23,DBG,0,ICorDebugBreakpointEnum::Next,
1,705CCE37-9BE6-454C-8D03-19E98F246D5B,DBG,0,ICorDebugChain::EnumerateFrames,mscordbi!ShimChain::EnumerateFrames
1,EB8F4C39-6BC2-41A2-B02C-1AEAC7D76D65,DBG,0,ICorDebugChain::GetActiveFrame,mscordbi!ShimChain::GetActiveFrame
1,A7076D96-D1F4-4825-A722-1B1B4976C2F5,DBG,0,ICorDebugChain::GetCallee,mscordbi!ShimChain::GetCallee
1,F05D3BAA-4630-43CB-B197-1B6368CC56BE,DBG,0,ICorDebugChain::GetCaller,mscordbi!ShimChain::GetCaller
1,5ADD90DE-5874-4154-9177-1B9DB11FA8BB,DBG,0,ICorDebugChain::GetContext,mscordbi!ShimChain::GetContext
1,07B5A006-70E6-4DB4-A94D-1C1869418E6A,DBG,0,ICorDebugChain::GetNext,mscordbi!ShimChain::GetNext
1,D4B0A46B-3839-4289-ADB8-1C3B2B81BEEA,DBG,0,ICorDebugChain::GetPrevious,mscordbi!ShimChain::GetPrevious
1,43DAC7CC-27A8-4639-A621-1C83FFC9486D,DBG,0,ICorDebugChain::GetReason,mscordbi!ShimChain::GetReason
1,34726AF2-EF50-4DB5-994D-1D2759D854EF,DBG,0,ICorDebugChain::GetRegisterSet,mscordbi!ShimChain::GetRegisterSet
1,80285AEF-A225-4DF3-99B0-1D34A61E7EF2,DBG,0,ICorDebugChain::GetStackRange,mscordbi!ShimChain::GetStackRange
1,AD7401C2-3BBA-46C5-A52A-1DA93DBEDC08,DBG,0,ICorDebugChain::GetThread,mscordbi!ShimChain::GetThread
1,8EDC7B47-9523-43B9-BFB5-1DCE0F8656C3,DBG,0,ICorDebugChain::IsManaged,mscordbi!ShimChain::IsManaged
0,0491AAF5-99AE-452C-8361-1EB4409A9BA1,DBG,0,ICorDebugChainEnum::Next,
1,B2FC4D10-7290-4702-991A-1EC400D6D940,DBG,0,ICorDebugClass::GetModule,mscordbi!CordbClass::GetModule
1,F71F9AE8-649F-4973-A1C5-1F3B7D7E59CB,DBG,0,ICorDebugClass::GetStaticFieldValue,mscordbi!CordbClass::GetStaticFieldValue
1,EC7D9697-7BAF-4A7C-9A28-1F876363BE45,DBG,0,ICorDebugClass::GetToken,mscordbi!CordbClass::GetToken
1,7C27F6D3-7E42-432D-A07D-1F9065838197,DBG,0,ICorDebugClass2::GetParameterizedType,mscordbi!CordbClass::GetParameterizedType
1,22382EA9-AA8A-4F76-842A-1FCDFC364CE0,DBG,0,ICorDebugClass2::SetJMCStatus,mscordbi!CordbClass::SetJMCStatus
1,61FDB0F8-AD68-4AD0-8C7F-1FD5BC486090,DBG,0,ICorDebugCode::CreateBreakpoint,mscordbi!CordbCode::CreateBreakpoint
0,D0FB85C2-03B3-4584-A653-20299ABF6924,DBG,0,ICorDebugCode::GetAddress,
1,665A4CA3-27A8-4BD5-85EE-2046D7B3232E,DBG,0,ICorDebugCode::GetCode,mscordbi!CordbCode::GetCode
1,42F7E8E4-B2C3-4C9B-A49F-20E55856FB18,DBG,0,ICorDebugCode::GetEnCRemapSequencePoints,mscordbi!CordbCode::GetEnCRemapSequencePoints
0,EC300017-DA8C-425B-8372-2315EDAD8A1F,DBG,0,ICorDebugCode::GetFunction,
0,CCE38483-3F3F-4D1F-A69A-234BCAEAB65E,DBG,0,ICorDebugCode::GetILToNativeMapping,
1,4FDCD757-4981-4F9F-B751-234C8EFB0729,DBG,0,ICorDebugCode::GetSize,mscordbi!CordbCode::GetSize
1,89E2142F-4547-45C8-8035-23613E4F93F8,DBG,0,ICorDebugCode::GetVersionNumber,mscordbi!CordbCode::GetVersionNumber
1,E71C3AF0-4B15-4286-B1C1-25466D2B002C,DBG,0,ICorDebugCode::IsIL,mscordbi!CordbCode::IsIL
